cycles	cost		deployment limit	cost
2	39270		0.75	39270
2	35385		0.88	35385
3	50662		0.42	50662
2	36498		0.95	36498
2	40551		0.88	40551
4	61320		0.24	61320
2	30807		0.54	30807
2	38787		0.54	38787
2	25554		0.92	25554
3	42507		0.3	42507
2	27160		0.97	27160
2	37653		0.88	37653
4	44877		0.23	44877
2	26038		0.78	26038
2	39312		0.16	39312
3	36910		0.6	36910
2	41727		0.85	41727
4	50711		0.57	50711
5	72779		0.13	72779
2	35511		0.43	35511
2	39942		0.48	39942
2	41454		0.49	41454
5	79316		0.22	79316
2	40992		0.25	40992
2	39396		0.96	39396
2	31290		0.55	31290
2	32571		0.54	32571
4	54986		0.38	54986
2	36876		0.84	36876
5	55559		0.36	55559
2	37905		0.52	37905
2	30912		0.71	30912
2	41055		0.5	41055
4	54444		0.31	54444
3	39517		0.59	39517
2	35658		0.62	35658
6	91413		0.07	91413
2	38178		0.3	38178
5	66549		0.11	66549
4	68735		0.02	68735
2	34860		0.67	34860
6	75202		0.45	75202
3	49154		0.27	49154
2	33495		0.44	33495
2	35994		0.62	35994
2	40824		0.89	40824
4	43400		0.6	43400
2	30765		0.96	30765
2	36645		0.52	36645
2	40152		0.22	40152
3	31160		0.7	31160
5	73625		0.2	73625
2	36477		0.67	36477
3	38694		0.53	38694
2	38871		0.47	38871
2	39543		0.94	39543
3	32220		0.74	32220
2	28106		0.86	28106
2	35238		0.89	35238
3	55314		0.2	55314
2	41580		0.77	41580
3	36730		0.7	36730
2	27666		0.73	27666
4	45948		0.8	45948
3	37381		0.5	37381
3	38893		0.55	38893
2	39249		0.96	39249
3	40964		0.38	40964
2	25862		0.94	25862
5	96726		0.03	96726
3	58884		0.08	58884
3	35894		0.6	35894
2	38220		0.24	38220
3	36316		0.59	36316
2	41769		0.58	41769
9	164975		0.01	164975
2	41370		0.77	41370
3	54054		0.09	54054
3	48405		0.36	48405
5	72485		0.15	72485
2	36267		0.39	36267
2	22386		0.97	22386
3	53508		0.25	53508
2	35742		0.6	35742
2	39648		0.28	39648
2	41223		0.56	41223
2	33747		0.99	33747
2	39123		0.86	39123
3	42662		0.89	42662
3	57708		0.1	57708
2	35049		0.57	35049
2	34272		0.89	34272
3	53172		0.27	53172
4	60207		0.24	60207
2	27116		0.74	27116
3	56469		0.15	56469
3	38863		0.88	38863
2	30975		0.93	30975
2	31626		0.74	31626
2	40467		0.46	40467
4	70854		0.13	70854
2	26566		0.96	26566
3	42679		0.7	42679
2	41181		0.25	41181
3	48903		0.29	48903
2	30262		0.87	30262
2	30240		0.92	30240
3	48888		0.33	48888
2	32697		0.98	32697
2	30856		0.58	30856
3	45205		0.83	45205
2	26346		0.84	26346
2	32676		0.56	32676
3	46671		0.38	46671
2	32298		0.93	32298
2	41265		0.78	41265
3	52143		0.18	52143
2	37191		0.95	37191
2	38094		0.34	38094
4	63481		0.23	63481
2	29668		0.72	29668
3	37874		0.62	37874
3	42435		0.56	42435
2	31941		0.48	31941
2	32004		0.74	32004
2	37737		0.38	37737
2	36603		0.73	36603
4	59533		0.41	59533
2	38073		0.98	38073
3	56700		0.09	56700
2	32403		0.95	32403
3	37583		0.58	37583
2	40677		0.71	40677
2	31752		0.52	31752
4	66612		0.11	66612
2	31416		0.95	31416
3	55692		0.16	55692
2	41559		0.48	41559
2	36120		0.75	36120
2	30152		0.83	30152
4	59598		0.31	59598
3	60123		0.07	60123
3	50316		0.15	50316
5	81424		0.04	81424
2	39039		0.59	39039
3	31846		0.75	31846
2	36078		0.37	36078
2	33243		0.92	33243
2	26918		0.74	26918
2	35301		0.98	35301
2	40845		0.74	40845
2	30933		0.95	30933
2	33306		0.79	33306
2	37926		0.34	37926
5	86772		0.11	86772
2	32991		0.89	32991
2	36897		0.94	36897
3	62979		0	62979
3	44541		0.35	44541
2	31731		0.62	31731
2	38472		0.43	38472
3	51933		0.2	51933
3	39952		0.75	39952
2	41517		0.96	41517
2	35196		0.39	35196
3	40658		0.49	40658
3	46253		0.32	46253
2	41727		0.21	41727
4	58256		0.27	58256
2	40950		0.9	40950
5	93240		0.07	93240
4	49991		0.56	49991
2	32382		0.98	32382
2	32802		0.82	32802
2	30394		0.97	30394
3	45108		0.48	45108
3	43142		0.78	43142
3	47693		0.56	47693
2	39270		0.72	39270
2	40341		0.6	40341
2	29690		0.83	29690
4	42156		0.67	42156
2	38325		0.62	38325
2	39585		0.43	39585
3	42478		0.49	42478
2	33117		0.44	33117
3	47567		0.13	47567
4	48083		0.52	48083
2	40992		0.56	40992
4	64575		0.25	64575
3	46812		0.59	46812
2	23794		0.89	23794
2	33747		0.81	33747
6	104496		0	104496
4	57141		0.38	57141
4	45870		0.34	45870
2	32991		0.73	32991
2	36771		0.42	36771
3	51324		0.27	51324
2	40677		0.98	40677
2	38724		0.67	38724
5	80766		0.25	80766
4	33518		0.86	33518
3	39815		0.49	39815
2	28568		0.94	28568
2	31899		0.89	31899
4	68418		0.16	68418
2	40278		0.8	40278
2	33432		0.97	33432
2	41601		0.31	41601
2	25840		0.9	25840
2	35490		0.31	35490
3	44914		0.41	44914
3	36803		0.72	36803
4	56605		0.22	56605
2	29844		0.98	29844
8	110779		0.08	110779
4	59506		0.11	59506
2	37947		0.3	37947
2	39144		0.21	39144
4	53526		0.11	53526
3	37365		0.5	37365
2	40656		0.31	40656
2	37947		0.68	37947
4	70749		0.22	70749
3	40430		0.61	40430
2	35511		0.37	35511
2	39291		0.35	39291
2	35742		0.97	35742
3	60144		0.1	60144
3	56343		0.14	56343
2	40866		0.51	40866
2	41559		0.72	41559
2	41937		0.36	41937
2	39291		0.73	39291
4	30196		0.79	30196
2	40992		0.63	40992
2	35343		0.46	35343
2	38367		0.9	38367
3	34841		0.84	34841
2	33600		0.86	33600
2	39858		0.46	39858
8	113543		0.02	113543
4	37293		0.75	37293
3	42065		0.52	42065
2	28040		0.75	28040
2	41454		0.39	41454
4	61026		0.29	61026
3	37808		0.56	37808
2	28106		0.83	28106
3	48255		0.52	48255
4	62865		0.21	62865
2	25290		0.99	25290
7	98712		0.12	98712
2	41811		0.13	41811
2	38850		0.91	38850
3	51513		0.36	51513
2	33684		0.9	33684
2	34650		0.91	34650
2	36729		0.97	36729
2	41580		0.51	41580
7	118188		0.1	118188
2	35091		0.52	35091
3	50862		0.26	50862
2	33726		0.67	33726
4	74340		0.16	74340
2	28370		0.98	28370
3	56700		0.19	56700
3	41769		0.45	41769
2	40173		0.77	40173
4	51052		0.35	51052
3	56553		0.09	56553
6	57716		0.42	57716
2	34713		0.99	34713
3	53277		0.23	53277
2	41118		0.29	41118
2	29338		0.97	29338
2	41244		0.7	41244
3	49528		0.32	49528
6	75791		0.23	75791
2	40446		0.88	40446
5	92127		0.13	92127
2	40845		0.06	40845
3	48888		0.34	48888
2	31647		0.81	31647
3	50400		0.41	50400
6	83042		0.26	83042
8	107943		0.07	107943
2	39396		0.51	39396
2	26742		0.85	26742
2	25114		0.9	25114
2	37905		0.78	37905
2	40719		0.68	40719
2	41013		0.63	41013
7	112042		0.04	112042
2	40278		0.25	40278
2	38703		0.3	38703
2	34818		0.93	34818
3	49497		0.18	49497
2	41622		0.8	41622
4	58191		0.23	58191
3	48405		0.21	48405
5	57613		0.61	57613
6	99015		0.07	99015
2	23134		0.97	23134
2	36456		0.64	36456
4	53738		0.34	53738
2	41370		0.04	41370
6	76700		0.25	76700
2	34629		0.97	34629
4	56769		0.16	56769
2	33810		0.81	33810
4	49017		0.62	49017
5	81249		0.05	81249
2	33222		0.52	33222
4	51832		0.23	51832
4	66486		0.18	66486
2	40950		0.69	40950
2	37800		0.41	37800
2	39291		0.47	39291
2	32928		0.77	32928
2	28304		0.69	28304
3	44226		0.12	44226
6	114870		0.03	114870
4	55427		0.24	55427
3	37445		0.53	37445
3	60753		0.02	60753
3	37669		0.64	37669
7	130137		0.02	130137
2	41475		0.35	41475
3	45385		0.17	45385
2	41832		0.3	41832
2	38682		0.95	38682
3	46010		0.8	46010
2	41097		0.58	41097
2	38514		0.46	38514
3	36937		0.5	36937
2	31395		0.72	31395
4	47415		0.56	47415
2	32550		0.63	32550
3	57477		0.21	57477
2	36372		0.37	36372
6	105247		0.03	105247
5	76374		0.08	76374
2	36708		0.5	36708
3	42943		0.67	42943
2	41496		0.96	41496
6	99498		0.1	99498
2	36708		0.78	36708
2	34839		0.72	34839
4	35960		0.69	35960
2	40068		0.54	40068
4	49618		0.44	49618
4	50619		0.28	50619
3	39983		0.52	39983
3	43389		0.49	43389
2	37737		0.82	37737
4	54826		0.32	54826
2	32802		0.52	32802
3	34420		0.7	34420
3	34904		0.69	34904
2	29074		0.98	29074
4	65835		0.27	65835
3	52395		0.19	52395
2	35931		0.71	35931
2	31269		0.56	31269
2	34713		0.42	34713
3	50789		0.48	50789
4	46198		0.55	46198
2	39123		0.79	39123
2	24124		0.89	24124
3	51009		0.26	51009
7	122571		0.02	122571
3	26224		0.96	26224
3	56133		0.27	56133
2	30680		0.72	30680
2	30020		0.59	30020
4	65394		0.19	65394
2	32529		0.63	32529
4	69888		0.23	69888
2	33411		0.69	33411
3	39952		0.4	39952
6	92940		0.04	92940
2	36750		0.52	36750
4	62861		0.26	62861
3	39282		0.64	39282
3	31626		0.77	31626
5	75244		0.18	75244
5	80430		0.2	80430
2	35973		0.31	35973
2	27270		0.9	27270
3	38520		0.58	38520
2	28106		0.69	28106
3	42449		0.83	42449
2	39648		0.18	39648
2	33978		0.64	33978
3	42884		0.01	42884
2	35616		0.73	35616
2	37821		0.95	37821
2	41496		0.36	41496
4	59380		0.22	59380
2	35511		0.96	35511
6	101031		0.1	101031
2	38955		0.76	38955
2	41181		0.73	41181
3	36146		0.59	36146
3	45936		0.47	45936
1	21000		1	21000
3	53823		0.32	53823
2	30975		0.66	30975
3	50799		0.25	50799
2	24564		0.89	24564
2	27666		0.85	27666
3	39450		0.45	39450
3	44980		0.25	44980
2	38871		0.2	38871
3	45856		0.3	45856
2	30592		0.99	30592
2	40089		0.94	40089
2	40530		0.44	40530
3	37183		0.42	37183
2	38031		0.69	38031
1	21000		1	21000
2	35721		0.31	35721
2	35763		0.54	35763
3	46274		0.46	46274
2	30576		0.87	30576
2	41748		0.33	41748
2	38619		0.69	38619
2	41832		0.95	41832
6	76491		0.21	76491
3	38975		0.58	38975
2	32550		0.45	32550
2	30284		0.65	30284
3	43886		0.64	43886
4	49367		0.64	49367
2	34482		0.68	34482
5	74463		0.21	74463
2	35406		0.53	35406
3	47003		0.24	47003
3	44449		0.3	44449
4	51684		0.21	51684
2	30912		0.6	30912
2	40005		0.15	40005
2	32907		0.94	32907
3	33738		0.77	33738
3	35212		0.43	35212
2	33516		0.59	33516
3	53739		0.21	53739
3	47457		0.32	47457
3	48035		0.53	48035
3	45799		0.44	45799
3	51114		0.35	51114
2	25092		0.82	25092
4	52804		0.25	52804
2	33705		0.74	33705
