0.00,2,117600
0.00,3,128100
0.00,4,138819
0.00,5,149350
0.00,6,160200
0.00,7,170892
0.00,8,181614
0.00,9,191850
0.00,10,202533
0.00,11,213100
0.00,12,223708
0.10,2,111900
0.10,3,121800
0.10,4,131100
0.10,5,140925
0.10,6,150240
0.10,7,160050
0.10,8,169842
0.10,9,179394
0.10,10,188500
0.10,11,198300
0.10,12,208026
0.20,2,109800
0.20,3,118600
0.20,4,126981
0.20,5,135600
0.20,6,143880
0.20,7,152307
0.20,8,160572
0.20,9,169600
0.20,10,178512
0.20,11,186600
0.20,12,195927
0.30,2,107700
0.30,3,115400
0.30,4,122519
0.30,5,130275
0.30,6,137940
0.30,7,145443
0.30,8,152800
0.30,9,161136
0.30,10,168024
0.30,11,175320
0.30,12,183784
0.40,2,105600
0.40,3,112200
0.40,4,118800
0.40,5,125400
0.40,6,131520
0.40,7,138100
0.40,8,145002
0.40,9,151275
0.40,10,157938
0.40,11,163980
0.40,12,171570
0.50,2,103500
0.50,3,109000
0.50,4,114615
0.50,5,120000
0.50,6,125500
0.50,7,130704
0.50,8,136023
0.50,9,142680
0.50,10,148224
0.50,11,153050
0.50,12,161490
0.60,2,101800
0.60,3,106200
0.60,4,110484
0.60,5,115000
0.60,6,119400
0.60,7,124098
0.60,8,128040
0.60,9,132650
0.60,10,140204
0.60,11,148640
0.60,12,156108
0.70,2,99600
0.70,3,102900
0.70,4,106200
0.70,5,109500
0.70,6,112800
0.70,7,116150
0.70,8,123131
0.70,9,130334
0.70,10,136503
0.70,11,143730
0.70,12,150231
0.80,2,97400
0.80,3,99600
0.80,4,101916
0.80,5,104050
0.80,6,109840
0.80,7,115479
0.80,8,121693
0.80,9,127275
0.80,10,132846
0.80,11,138860
0.80,12,144390
0.90,2,95200
0.90,3,96350
0.90,4,100989
0.90,5,105775
0.90,6,110460
0.90,7,115305
0.90,8,119708
0.90,9,124974
0.90,10,129200
0.90,11,134050
0.90,12,138603
1.00,2,96600
1.00,3,100200
1.00,4,103800
1.00,5,107400
1.00,6,111000
1.00,7,114600
1.00,8,118200
1.00,9,121800
1.00,10,125400
1.00,11,129000
1.00,12,132600
